date,count,temp,snow,visibility,rideable_type,member_casual,start_in_hot_zones,end_in_hot_zones,at_stations,ISweekday,ISholiday
2022-01-01,2530,34.8,0.3,4.6,electric_bike,member,0.0,0.0,1,0,1
2022-01-02,2047,23.5,1.7,7.9,electric_bike,member,0.0,0.0,1,0,0
2022-01-03,3119,17.2,0.7,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-04,4334,29.8,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-05,2698,19.7,0.0,6.1000000000000005,electric_bike,member,0.0,0.0,1,1,0
2022-01-06,2830,11.2,0.0,9.6,electric_bike,member,0.0,0.0,1,1,0
2022-01-07,2399,8.0,0.0,9.9,electric_bike,member,0.0,1.0,1,1,0
2022-01-08,2569,24.3,0.0,7.5,electric_bike,member,0.0,0.0,1,0,0
2022-01-09,2096,24.8,0.0,9.5,electric_bike,member,0.0,0.0,1,0,0
2022-01-10,2662,13.9,0.0,9.8,electric_bike,member,0.0,0.0,1,1,0
2022-01-11,3548,21.2,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-12,5685,37.2,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-13,5931,37.0,0.0,9.1,electric_bike,member,0.0,0.0,1,1,0
2022-01-14,4884,32.9,0.2,8.5,electric_bike,member,0.0,0.0,1,1,0
2022-01-15,3124,24.2,0.1,8.4,electric_bike,member,0.0,0.0,1,0,0
2022-01-16,3318,22.4,0.0,9.1,electric_bike,member,0.0,0.0,1,0,0
2022-01-17,3617,27.100000000000005,0.20000000000000004,9.7,electric_bike,member,0.0,0.0,1,1,1
2022-01-18,5703,33.6,0.0,9.8,electric_bike,member,0.0,0.0,1,1,0
2022-01-19,4699,25.0,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-20,3823,13.7,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-21,4519,18.3,0.0,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-22,4053,25.2,1.3,9.3,electric_bike,member,0.0,0.0,1,0,0
2022-01-23,1420,18.2,2.3,6.8,electric_bike,member,0.0,0.0,1,0,0
2022-01-24,1789,19.6,0.3,7.3,electric_bike,member,0.0,0.0,1,1,0
2022-01-25,2403,8.8,0.1,9.9,electric_bike,member,0.0,0.0,1,1,0
2022-01-26,1938,4.4,0.0,9.9,classic_bike,member,0.0,0.0,1,1,0
2022-01-27,3806,26.3,1.2,9.8,electric_bike,member,0.0,0.0,1,1,0
2022-01-28,1877,20.7,0.9,5.6,electric_bike,member,0.0,0.0,1,1,0
2022-01-29,2331,16.8,0.1,9.9,electric_bike,member,0.0,0.0,1,0,0
2022-01-30,2515,23.9,0.0,9.9,electric_bike,member,0.0,0.0,1,0,0
2022-01-31,4484,31.0,0.0,9.1,electric_bike,member,0.0,0.0,1,1,0
2022-02-01,4637,39.4,0.1,9.1,electric_bike,member,0.0,0.0,1,1,0
2022-02-02,694,23.5,1.0,4.1,electric_bike,member,0.0,0.0,1,1,0
2022-02-03,1887,22.8,0.5,9.5,electric_bike,member,0.0,0.0,1,1,0
2022-02-04,2673,19.4,0.0,8.5,electric_bike,member,0.0,0.0,1,1,0
2022-02-05,2105,13.6,0.0,9.9,electric_bike,member,0.0,0.0,1,0,0
2022-02-06,2603,26.2,0.0,9.9,electric_bike,member,0.0,0.0,1,0,0
2022-02-07,3650,23.8,0.0,9.0,electric_bike,member,0.0,0.0,1,1,0
