rideable_type,member_casual,date,start_in_hot_zones,end_in_hot_zones,at_stations,count,ISweekday,ISholiday,temp,feelslike,snow,visibility
classic_bike,casual,2022-01-01,0.0,0.0,0,3,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-01,0.0,0.0,1,192,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-01,0.0,1.0,1,80,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-01,1.0,0.0,1,87,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-01,1.0,1.0,0,3,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-01,1.0,1.0,1,108,0,1,34.8,24.3,0.3,4.6
classic_bike,casual,2022-01-02,0.0,0.0,0,2,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-02,0.0,0.0,1,62,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-02,0.0,1.0,1,37,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-02,1.0,0.0,1,37,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-02,1.0,1.0,0,1,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-02,1.0,1.0,1,58,0,0,23.5,13.0,1.7,7.9
classic_bike,casual,2022-01-03,0.0,0.0,0,3,1,0,17.2,6.9,0.7,9.9
classic_bike,casual,2022-01-03,0.0,0.0,1,65,1,0,17.2,6.9,0.7,9.9
classic_bike,casual,2022-01-03,0.0,1.0,1,36,1,0,17.2,6.9,0.7,9.9
classic_bike,casual,2022-01-03,1.0,0.0,1,39,1,0,17.2,6.9,0.7,9.9
classic_bike,casual,2022-01-03,1.0,1.0,1,53,1,0,17.2,6.9,0.7,9.9
classic_bike,casual,2022-01-04,0.0,0.0,1,100,1,0,29.8,19.8,0.0,9.9
classic_bike,casual,2022-01-04,0.0,1.0,1,35,1,0,29.8,19.8,0.0,9.9
classic_bike,casual,2022-01-04,1.0,0.0,1,40,1,0,29.8,19.8,0.0,9.9
classic_bike,casual,2022-01-04,1.0,1.0,0,1,1,0,29.8,19.8,0.0,9.9
classic_bike,casual,2022-01-04,1.0,1.0,1,54,1,0,29.8,19.8,0.0,9.9
classic_bike,casual,2022-01-05,0.0,0.0,0,2,1,0,19.7,3.7,0.0,6.1
classic_bike,casual,2022-01-05,0.0,0.0,1,58,1,0,19.7,3.7,0.0,6.1
classic_bike,casual,2022-01-05,0.0,1.0,1,20,1,0,19.7,3.7,0.0,6.1
classic_bike,casual,2022-01-05,1.0,0.0,1,21,1,0,19.7,3.7,0.0,6.1
classic_bike,casual,2022-01-05,1.0,1.0,1,46,1,0,19.7,3.7,0.0,6.1
classic_bike,casual,2022-01-06,0.0,0.0,0,1,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-06,0.0,0.0,1,54,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-06,0.0,1.0,1,20,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-06,1.0,0.0,1,21,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-06,1.0,1.0,0,1,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-06,1.0,1.0,1,46,1,0,11.2,-3.8,0.0,9.6
classic_bike,casual,2022-01-07,0.0,0.0,0,1,1,0,8.0,-4.5,0.0,9.9
classic_bike,casual,2022-01-07,0.0,0.0,1,87,1,0,8.0,-4.5,0.0,9.9
classic_bike,casual,2022-01-07,0.0,1.0,1,23,1,0,8.0,-4.5,0.0,9.9
classic_bike,casual,2022-01-07,1.0,0.0,1,30,1,0,8.0,-4.5,0.0,9.9
classic_bike,casual,2022-01-07,1.0,1.0,1,68,1,0,8.0,-4.5,0.0,9.9
classic_bike,casual,2022-01-08,0.0,0.0,0,1,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-08,0.0,0.0,1,78,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-08,0.0,1.0,1,46,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-08,1.0,0.0,1,41,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-08,1.0,1.0,0,1,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-08,1.0,1.0,1,61,0,0,24.3,13.3,0.0,7.5
classic_bike,casual,2022-01-09,0.0,0.0,0,2,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-09,0.0,0.0,1,68,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-09,0.0,1.0,1,30,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-09,1.0,0.0,1,22,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-09,1.0,1.0,0,4,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-09,1.0,1.0,1,53,0,0,24.8,13.6,0.0,9.5
classic_bike,casual,2022-01-10,0.0,0.0,0,3,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-10,0.0,0.0,1,54,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-10,0.0,1.0,1,26,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-10,1.0,0.0,1,25,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-10,1.0,1.0,0,1,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-10,1.0,1.0,1,32,1,0,13.9,1.9,0.0,9.8
classic_bike,casual,2022-01-11,0.0,0.0,0,2,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-11,0.0,0.0,1,58,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-11,0.0,1.0,1,30,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-11,1.0,0.0,1,27,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-11,1.0,1.0,0,1,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-11,1.0,1.0,1,51,1,0,21.2,11.2,0.0,9.9
classic_bike,casual,2022-01-12,0.0,0.0,0,3,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-12,0.0,0.0,1,148,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-12,0.0,1.0,1,68,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-12,1.0,0.0,1,71,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-12,1.0,1.0,0,1,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-12,1.0,1.0,1,105,1,0,37.2,32.3,0.0,9.9
classic_bike,casual,2022-01-13,0.0,0.0,0,3,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-13,0.0,0.0,1,159,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-13,0.0,1.0,1,80,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-13,1.0,0.0,1,59,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-13,1.0,1.0,0,1,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-13,1.0,1.0,1,102,1,0,37.0,33.6,0.0,9.1
classic_bike,casual,2022-01-14,0.0,0.0,0,5,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-14,0.0,0.0,1,142,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-14,0.0,1.0,1,62,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-14,1.0,0.0,1,53,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-14,1.0,1.0,0,4,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-14,1.0,1.0,1,106,1,0,32.9,22.8,0.2,8.5
classic_bike,casual,2022-01-15,0.0,0.0,0,1,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-15,0.0,0.0,1,140,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-15,0.0,1.0,1,59,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-15,1.0,0.0,1,63,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-15,1.0,1.0,0,2,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-15,1.0,1.0,1,99,0,0,24.2,12.9,0.1,8.4
classic_bike,casual,2022-01-16,0.0,0.0,0,1,0,0,22.4,16.8,0.0,9.1
classic_bike,casual,2022-01-16,0.0,0.0,1,157,0,0,22.4,16.8,0.0,9.1
